Mata_Pelajaran|Topik|Nomor_Soal|Pertanyaan|Opsi_A|Opsi_B|Opsi_C|Opsi_D|Opsi_E|Kunci_Jawaban|Pembahasan
Penalaran Matematika|Day 8|9|"Agar dapat melihat dasar bangunan di seberang, Dinda harus berdiri di titik yang jaraknya paling jauh 1 m dari jendela. Jika jarak antara kedua gedung adalah 40 m, tinggi lantai apartemen Dinda dari tanah adalah . . . m. a. 72 b. 70 c. 68 d. 64 e. 62 Jawaban : D) 64 Konsep : Kesebangunan dan Hubungan antarsudut ̅̅̅̅ || 𝐴𝐷 Kita menyadari bahwa ∆ABC dan ∆ADE saling terhubung. 𝐴𝐵 ̅̅̅̅ 𝑑𝑎𝑛 𝐵𝐶 ̅̅̅̅ || 𝐷𝐸 ̅̅̅̅ ⊥ ̅̅̅̅ 𝑠𝑒ℎ𝑖𝑛𝑔𝑔𝑎 𝐴𝐵 ̅̅̅̅ 𝐵𝐶 dan ̅̅̅̅ 𝐴𝐷 ⊥ ̅̅̅̅ 𝐷𝐸. Ini berarti bahwa ∠ADE = ∠ABC. ∠BAC = ∠DAE. Karena total sudut segitiga = 180°, Ini berarti bahwa 180° −∠ABC-∠BAC = 180°-∠ADE-∠DAE sehingga kedua bangunan memiliki sudut-sudut yang sama. Ini berarti bahwa kedua segitiga sebangun (2 sudut yang sama sudah mengindikasikan bahwa kedua segitiga sebangun (AA similarity)) ∆𝐴𝐵𝐶 ~ ∆𝐴𝐷𝐸 𝐴𝐵 𝐵𝐶 𝐴𝐶 = = 𝐴𝐷 𝐷𝐸 𝐴𝐸 1,6 1 = 𝐴𝐷 40 + 1 1,6(41) = 𝐴𝐷 𝐴𝐷 = 1,6(41) BD merupakan jarak lantai apartemen Dinda ke tanah sehingga untuk mencari BD kita harus mengurangi AD-AB 𝐴𝐷 − 𝐴𝐵 = 1,6(41) − 1,6 𝐴𝐷 − 𝐴𝐵 = 1,6(41 − 1) 𝐴𝐷 − 𝐴𝐵 = 16(40) 𝐴𝐷 − 𝐴𝐵 = 64"||||||N/A|
Penalaran Matematika|Day 8|10|"Lebar apartemen Dinda adalah 4m. Misalkan diketahui bahwa jarak antara kedua gedung adalah x = 30 m. Jika berdiri 1m dari jendela dan 1m dari dinding di sebelah kiri, Dinda akan bisa melihat seluruh bangunan di seberang, dari kiri hingga kanan. Lebar bangunan di seberang adalah . . . m. a. 120 b. 121 c. 122 d. 123 e. 124 Jawaban : E)124 Konsep : Kesebangunan Fenomena soal ini dapat diilustrasikan sebagai berikut : Lebar bangunan depan dapat kita anggap sebagai ̅̅̅̅ EH yang merupakan hasil dari ̅̅̅̅ 𝐸𝐷 + 𝐷𝐻 . ∆ABC dan ∆ADE saling terhubung. ̅̅̅̅ ̅̅̅̅ AB || ̅̅̅̅ AD dan ̅̅̅̅ DE sehingga ̅̅̅̅ BC || ̅̅̅̅ AB ⊥ ̅̅̅̅ BC dan ̅̅̅̅ AD ⊥ ̅̅̅̅ DE. Karena total sudut segitiga = 180°, Ini berarti bahwa 180° −∠ABC-∠BAC = 180°-∠ADE-∠DAE sehingga kedua bangunan memiliki sudut-sudut yang sama. Ini berarti bahwa kedua segitiga sebangun (2 sudut yang sama sudah mengindikasikan bahwa kedua segitiga sebangun (AA similarity)) ∆𝐴𝐵𝐶 ~ ∆𝐴𝐷𝐸 𝐴𝐵 𝐵𝐶 𝐴𝐶 = = 𝐴𝐷 𝐷𝐸 𝐴𝐸 1 1 = 31 𝐷𝐸 𝐷𝐸 = 31 ∆ABF dan ∆ADH juga saling terhubung. ̅̅̅̅ ̅̅̅̅ dan ̅̅̅̅ AB || AD ̅̅̅̅ sehingga ̅̅̅̅ BF || DH AB ⊥ ̅̅̅̅ ̅̅̅̅ ⊥ BF dan AD ̅̅̅̅. Karena total sudut segitiga = 180°, Ini berarti bahwa 180° −∠ABF-∠BAF = 180°-∠ADH-∠DAH DH sehingga kedua bangunan memiliki sudut-sudut yang sama. Ini berarti bahwa kedua segitiga sebangun (2 sudut yang sama sudah mengindikasikan bahwa kedua segitiga sebangun (AA similarity)) ∆𝐴𝐵𝐹 ~ ∆𝐴𝐷𝐻 𝐴𝐵 𝐵𝐹 𝐴𝐹 = = 𝐴𝐷 𝐷𝐻 𝐴𝐻 1 3 = 31 𝐷𝐻 𝐷𝐻 = 93 𝐷𝐸 + 𝐷𝐻 = 124"||||||N/A|
Penalaran Matematika|Day 8|11|"Dinda sedang berada di apartemen sahabatnya, dalam gedung yang sama, yang berada pada ketinggian 60 m dari tanah. Misalkan diketahui bahwa jarak antara kedua gedung adalah 30 m. Jika Dinda harus berada paling jauh 40 cm dari jendela untuk dapat melihat puncak bangunan di seberang, tinggi bangunan tersebut adalah . . . m. a. 165 b. 168 c. 173 d. 180 e. 183 Jawaban : B) 168 Konsep : Kesebangunan Kita dapat menghubungkan tinggi bangunan dan tinggi Dinda terhadap jarak antargedung dan jarak jendela dengan cara berikut : Kita menyadari bahwa ∆ABC dan ∆ADE saling terhubung. ̅̅̅̅ ̅̅̅̅ dan BC AB || AD ̅̅̅̅ || DE ̅̅̅̅ sehingga ̅̅̅̅ AB ⊥ ̅̅̅̅ dan 𝐴𝐷 BC ̅̅̅̅ ⊥ 𝐷𝐸 ̅̅̅̅ . Ini berarti bahwa ∠ADE = ∠ABC. ∠BAC = ∠DAE. Karena total sudut segitiga = 180°, Ini berarti bahwa 180° −∠ABC-∠BAC = 180°-∠ADE-∠DAE sehingga kedua bangunan memiliki sudut-sudut yang sama. Ini berarti bahwa kedua segitiga sebangun (2 sudut yang sama sudah mengindikasikan bahwa kedua segitiga sebangun (AA similarity)) dengan AB = 40 cm dan DB = 30 m ∆𝐴𝐵𝐶 ~ ∆𝐴𝐷𝐸 𝐴𝐵 𝐵𝐶 = 𝐴𝐷 𝐷𝐸 30 + 𝐵𝐶 10 = 4 16 10 3 − 10 304 14 4 ( ( )) = ( ) 𝐵𝐶 10 10 10 304 14 10 𝐵𝐶 = ( ( ) ( )) 10 10 4 304 14 𝐵𝐶 = ( ( )) 10 4 152 7 𝐵𝐶 = ( ( )) 5 2 1064 𝐵𝐶 = 𝐵𝐶 = 106,4 Kita sudah mendapatkan nilai BC sebagai puncak jarak puncak bangunan depan terhadap mata Dinda secara vertikal. Untuk mencari tinggi bangunan depan, kita harus menarik puncak vertikal bangunan tersebut ke tanah. Dari data soal, kita dapat mencari tinggi bangunan dengan cara menambahkan BC + jarak pelihat ke lantai bangunannya secara vertikal + jarak lantai bangunan pelihat ke tanah : 𝐵𝐶 + (3 − 1,6) + 60 = 𝐵𝐶 + 1,4 + 60 = 106,4 + 1,4 + 60 = 168 𝑚"||||||N/A|
Penalaran Matematika|Day 8|12|". Misalkan diketahui bahwa jarak antara kedua gedung adalah x = 30 m. Untuk mengurangi ketidaknyamanan penghuni apartemen, terutama yang disebabkan oleh sinar matahari dan hujan, apartemen dipasangi kanopi yang lebarnya 1 m. Pandangan Dinda menjadi sedikit terhalang karena adanya kanopi. Jika Dinda berdiri pada jarak 1 m dari jendela, ketinggian maksimum titik pada bangunan di seberang yang dapat dilihat oleh Dinda berkurang . . . m a. 20 , 3 b. 21 , 0 c. 21 , 4 d. 21 , 7 e. 22 , 0 Jawaban : D) 21,7 Konsep : Kesebangunan dan Kongruensi Segitiga Untuk mencari perubahan pandangan, kita dapat mencari pandangan sebelum tertutupi kanopi dan setelah tertutupi kanopi. Untuk mencari pandangan sebelum tertutupi kanopi, kita dapat menggunakan kesebangunan terhadap jarak terhadap jendela dan jarak pandangan yang sebenernya dengan data berikut : AB = AD + DB = 30 + 1 m, AD(jarak pemandang terhadap jendela = 1 m). DC = 3 m – 1,6 m = 1,4 m. Kita tahu bahwa garis AD dan DE tegak lurus. Hal yang sama juga berlaku pada AB dan BC. ∠A pada ∆𝐴𝐷𝐸 sama dengan ∠A pada ∆𝐴𝐵𝐶. Karena kedua segitiga diketahui sudah memiliki 2 sudut yang sama, sudut ketiga sudah pasti sama sehingga ∆𝐴𝐵𝐶 sebangun dengan ∆𝐴𝐷𝐸. ∆𝐴𝐵𝐶 ~ ∆𝐴𝐷𝐸 𝐴𝐵 𝐵𝐶 = 𝐴𝐷 𝐷𝐸 30 + 1 𝐵𝐶 = 1 16 3− 14 (31 ( )) = 𝐵𝐶 14 𝐵𝐶 = (31 ( )) 14 𝐵𝐶 = (31 ( )) 7 𝐵𝐶 = (31 ( )) 217 𝐵𝐶 = 𝐵𝐶 = 43,4 Yang kedua, kita dapat membuat scenario kesebangunan lainnya, yaitu pandangan terjauh ketika langit-langit jendela ditutupi kanopi : Jika kita membandingkan dengan skenario pertama, pandangan kedua mengalami depresi sudut pandangan. Kita tidak akan mencari nilai depresi sudutnya, tetapi langsung mencari jarak pandang vertikal terjauh dari mata dengan perbandingan yang ada. Jika sudut mengalami depresi dengan jarak horizontal konstan, ini berarti terjadi penurunan pada vertikal. Untuk itu, kita harus mencari nilai FB atau FE dengan cara menghubungkan ∆𝐴𝐵𝐹 𝑑𝑎𝑛 ∆𝐹𝐷𝐸. ̅̅̅̅ 𝐴𝐵 ⊥ ̅̅̅̅ 𝐵𝐹 dan ̅̅̅̅ 𝐸𝐹 sehingga ∠B = ∠E. Karena ̅̅̅̅ 𝐷𝐸 ⊥ ̅̅̅̅ 𝐸𝐷, ̅̅̅̅̅ 𝐴𝐵 || ̅̅̅̅ 𝐴𝐷 menyebabkan menyebabkan sudut yang sama pada ∠FAB dan ∠FDE. AB dan ED memiliki panjang yang sama, yaitu 1 m. Karena kedua segitiga memiliki 2 sudut yang sama dengan panjang garis yang terapit kedua sudut sama, ∆𝐴𝐵𝐹 ≅ ∆𝐹𝐸𝐷 sehingga BF = FD. BF + FD = BD dan BF = FD. Kedua data ini bisa kita gabungkan menjadi BF + BF = BD. 𝐵𝐷 2BF = BD sehingga BF = 2 . BD didapat dengan cara mengurankan tinggi apartemen dengan tinggi 1,4 7 pelihat : 3 − 1,6 = 1,4. BF didapatkan dengan membagi BD dengan 2 sehingga BF = 2 = 10. Garis AG dan garis GC juga sama-sama tegak lurus. ∠A pada ∠AGC = ∠A pada ∠ABF. Karena terdapat 2 sudut yang sama, sudut sisanya sudah pasti sama sehingga ∆𝐴𝐺𝐶~∆𝐴𝐵𝐹 ∆𝐴𝐺𝐶~∆𝐴𝐵𝐹 𝐴𝐵 𝐵𝐹 = 𝐴𝐺 𝐺𝐶 1 0,7 = 30 + 1 𝐺𝐶 𝐺𝐶 = 21,7 Untuk mencari perubahan akibat peletakan kanopi, kita tinggal mencari perubahan vertikal pada kedua kejadian : 𝐵𝐶 − 𝐺𝐶 = 43,4 − 21,7 = 21,7 Teks 4 Pedagang grosir daging ayam tiap hari menerima pasokan dari tempat pemotongan ayam dan kemudian menjualnya kembali pada para pedagang pengecer. Data pasokan dan yang terjual tiap hari (dalam kuintal) pada suatu minggu disajikan."||||||N/A|
Penalaran Matematika|Day 8|13|Berdasarkan diagram di atas, pedagang grosir kehabisan stok daging ayam pada hari . . . a. Senin dan Rabu b. Selasa dan Kamis c. Rabu dan Kamis d. Kamis dan Minggu e. Sabtu dan Minggu Jawaban : D) Kamis dan Minggu Konsep : Interpretasi Data dan Pemahaman Kontekstual Dasar (Inferensi terhadap kasus) Untuk menjawab soal ini, kita hanya perlu memahami apa yang terjadi pada data tersebut terlepas dari fakta bahwa tidak tertutup kemungkinan bahwa probset dapat memiliki sintaksis yang ambigu. Untuk mencari stok daging ayam pada hari tertentu, kita harus memahami terlebih dahulu bahwa stok berarti jumlah yang ada pada hari tersebut setelah mengalami pemasukan dan pengeluaran. Ini berarti bahwa stok daging ayam didapatkan dari hasil perubahan pasokan dan terjual. Perubahan stok = Pasokan – Terjual Data-data penjualan pada minggu tersebut dapat disajikan dengan cara berikut : Data Senin Selasa Rabu Kamis Jumat Sabtu Minggu Pasokan 14 kuintal 9 kuintal 10 kuintal 6 kuintal 12 kuintal 10 kuintal 9 kuintal Terjual 12 kuintal 9 kuintal 8 kuintal 10 kuintal 10 kuintal 8 kuintal 13 kuintal Perubahan 2 kuintal 0 kuintal 2 kuintal -4 kuintal 2 kuintal 2 kuintal -4 kuintal stok Stok 2 kuintal 2+0=2 2+0+2=4 2+0+2- 2+0+2- 2+0+2- 2+0+2- harian kuintal kuintal 4=0 4+2=2 4+2+2=4 4+2+2- kuintal kuintal kuintal 4=0 kuintal Untuk mencari kapan kehabisan stok, kita hanya perlu melihat stok per harinya. Kehabisan stok berarti stok per hari = 0. Hal ini terjadi pada hari Kamis dan Minggu sehingga stok habis pada hari Kamis dan Minggu.||||||N/A|
Penalaran Matematika|Day 8|14|Pilihlah jawaban pada kolom di sebelah kanan pernyataan yang sesuai dengan jawaban Pernyataan Benar Salah Stok daging ayam terbanyak pada minggu tersebut adalah 4 kuintal. B Stok daging ayam pada minggu tersebut sebanyak 2 kuintal pada B hari Senin dan Jumat Rata-rata stok daging ayam per hari pada minggu tersebut adalah S 13 kuintal Jawaban : BBS Konsep : Interpretasi Data dan Pemahaman Kontekstual Dasar (Inferensi terhadap kasus) Kita dapat melihat tabel yang sudah dibuat dan mengkajinya berdasarkan tabel tersebut. 1. Hari Kamis dan Minggu menjadi hari dengan stok terbanyak, yaitu 4 (BENAR) 2. Hari Senin, Minggu, dan Selasa menjadi hari dengan stok 2 kuintal ayam. Walaupun hari yang disebutkan hanya Senin dan Jumat, pernyataan tidak menyanggah kebenaran (BENAR) ∑ 𝑋𝑖 3. Rata-rata dapat dihitung dengan rumus 𝑥̅ = 𝑛 . Rata-rata stok dapat dikaji dari tabel dan 2+2+4+0+2+4+0 dimasukkan ke persamaan = 7 = 2. Pernyataan pada soal tidak sesuai dengan kebenaran (SALAH)||||||N/A|
Penalaran Matematika|Day 8|15|Berdasarkan pengalaman, modal akan tercukupi jika sudah terjual 70% pada minggu tersebut. Jika 1 kg daging ayam dijual dengan harga Rp30.000, 00, keuntungan pedagang grosir pada minggu tersebut adalah . . . juta rupiah. a. 14, 7 b. 63, 0 c. 84, 3 d. 126 e. 147 Jawaban : B) 63,0 Konsep : Interpretasi Data, Pemahaman Kontekstual Dasar (Inferensi terhadap kasus), dan Perbandingan Soal menyebutkan bahwa keuntungan dicapai setelah penjualan mencapai 70% sehingga hanya 30% penjualan bersih yang didapat ketika penjualan sudah mencapai 100%. Ini berarti bahwa kita dapat menghitung 30% dari penjualan. 7 100 𝑘𝑔 Rp30.000, 00 (1 − )( )( ) (12 + 9 + 8 + 10 + 10 + 8 + 13)(1 𝑘𝑢𝑖𝑛𝑡𝑎𝑙) 10 1 𝑘𝑢𝑖𝑛𝑡𝑎𝑙 𝑘𝑔 3 Rp30.000, 00 = ( ) (100 𝑘𝑔) ( ) (70) 10 𝑘𝑔 = (30)(𝑅𝑝2.100.000,00) = 𝑅𝑝63.000.000,00||||||N/A|
Penalaran Matematika|Day 8|16|Berdasarkan pengalaman, pedagang grosir merasa khawatir jika stok daging ayam terlalu banyak, yaitu lebih dari rata-rata stok ditambah simpangan baku. Banyak hari pada minggu tersebut, pedagang grosir tidak merasa khawatir adalah. . . hari. a. 1 b. 2 c. 3 d. 4 e. 5 Jawaban : E) 5 Konsep : Statistika Deskriptif Pedagang merasa khawatir apabila : 𝜎 𝑆𝑡𝑜𝑘 > 𝑅𝑎𝑡𝑎 − 𝑟𝑎𝑡𝑎 + Dari pengerjaan sebelumnya, kita mengetahui bahwa rata-rata adalah 2. Ada 2 pendekatan yang bisa digunakan untuk menyelesaikan soal ini 1. Tanpa menghitung simpangan baku Jika kita melihat data dari tabel yang telah kita buat, hari-hari ketika pedagang tidak khawatir cukup bisa disimpulkan dari tabel tersebut. Rata-rata adalah 2 dan stok khawatir adalah 2 + suatu bilangan positif yang sangat kecil sehingga pedagang khawatir apabila pasien > 2 + suatu bilangan positif yang kecil Berdasarkan tabel stok harian, kita dapat menyimpulkan bahwa ada 5 hari yang memenuhi : Senin (2), Selasa (2) Kamis (0), Jumat (2), Minggu (0) sehingga D) menjadi jawaban yang memenuhi.||||||N/A|
Penalaran Matematika|Day 8|2|Menghitung simpangan baku Rumus Simpangan baku : ∑(𝒳𝑖 − 𝜇)2 𝜎=√ 𝑁 Dengan 𝒳𝑖 sebagai data mentah, 𝜇 sebagai rata-rata, dan N sebagai jumlah data. ∑(𝒳𝑖 − 2)2 𝜎=√ Setiap data dapat dimasukkan ke dalam simpangan baku : Hasil : 16 𝜎=√ 2 = √2 ≈ 1,51 Kekhawatiran dicapai apabila stok > 2 + 1,51… Berdasarkan tabel stok harian, kita dapat menyimpulkan bahwa ada 5 hari yang memenuhi : Senin (2), Selasa (2) Kamis (0), Jumat (2), Minggu (0) sehingga D) menjadi jawaban yang memenuhi. Teks 5 Untuk mempercantik ruang tamu, Pak Tono bermaksud memasangi langit-langit ruang tamu tersebut dengan panel berwarna hijau muda dengan ukuran 98 cm × 98 cm. Langit-langit ruang tamu berbentuk persegi.||||||N/A|
Penalaran Matematika|Day 8|17|Misalkan banyaknya panel yang dibutuhkan adalah x buah. Jika f adalah fungsi yang menyatakan luas langit-langit ruang tamu, 𝑓(𝑥) = . . . . 𝑚2 . a. 9604x b. 9406x c. 96, 04x d. 0, 9604x e. 0, 9406x Jawaban : (D) 0,9604x Konsep : Konversi Satuan dan Luas Untuk mengerjakan soal ini, kita pertama-tama harus mengetahui konversi satuan. Untuk mengonversi satuan, kita harus mengetahui nilai suatu satuan dengan satuan lainnya. Pada soal ini, kita ingin mengonversikan cm ke m sehingga kita pertama harus mengetahui bahwa 1 m setara dengan 100 cm. Ini berarti bahwa kita dapat membagi 1 m/100 cm dan bernilai 1 karena setara. 100 𝑐𝑚 = 1 𝑚 100 𝑐𝑚 1𝑚 = =1 1𝑚 100 𝑐𝑚 1𝑚 1𝑚 98 𝑐𝑚 × 1 × 98 𝑐𝑚 × 1 = 98 𝑐𝑚 × × 98 𝑐𝑚 × 100 𝑐𝑚 100 𝑐𝑚 98 (98 𝑐𝑚)2 = ( 𝑚) Karena kita ingin mencari luas x keramik, kita hanya perlu mengalikan luas panel dengan x : 98 (98𝑐𝑚)2 × 𝑥 = ( 𝑚) × 𝑥 2 𝑓(𝑥) = ( 𝑚) 𝑥 𝑓(𝑥) = 0,9604𝑥||||||N/A|
Penalaran Matematika|Day 8|18|Jika dibutuhkan 25 panel, luas langit-langit ruang tamu adalah . . . 𝑚2 a. 4, 80 × 4, 80 b. 4, 58 × 4, 58 c. 4, 68 × 4, 68 d. 4, 89 × 4, 89 e. 4, 90 × 4, 90 Jawaban : E) 4,90 × 4, 90 Konsep : Luas Pada narasi, dijabarkan bahwa langit-langit berbentuk persegi sehingga panel yang dibutuhkan sudah pasti merupakan luas persegi dengan sisi langit-langit kuadrat. 𝐿𝑢𝑎𝑠 𝐿𝑎𝑛𝑔𝑖𝑡 − 𝐿𝑎𝑛𝑔𝑖𝑡 = 𝑆𝑖𝑠𝑖 𝑙𝑎𝑛𝑔𝑖𝑡 − 𝑙𝑎𝑛𝑔𝑖𝑡 2 Jika dibutuhkan 25 panel, sisi setiap langit-langitnya adalah akar dari 25, yaitu 5 panel. Ini berarti bahwa sisi langit-langit ruang tamu adalah sisi panel dikalikan dengan jumlah panel yang diperlukan per sisinya dan luas langit ruang tamu adalah sisi panel kuadrat. Luas langit-langit = 𝑆𝑖𝑠𝑖 𝑙𝑎𝑛𝑔𝑖𝑡 − 𝑙𝑎𝑛𝑔𝑖𝑡 2 𝑆𝑖𝑠𝑖 𝑙𝑎𝑛𝑔𝑖𝑡 − 𝑙𝑎𝑛𝑔𝑖𝑡 = 𝑗𝑢𝑚𝑙𝑎ℎ 𝑦𝑎𝑛𝑔 𝑑𝑖𝑏𝑢𝑡𝑢ℎ𝑘𝑎𝑛 𝑠𝑒𝑡𝑖𝑎𝑝 𝑠𝑖𝑠𝑖 × 𝑠𝑖𝑠𝑖 𝑝𝑎𝑛𝑒𝑙 𝑆𝑖𝑠𝑖 𝑙𝑎𝑛𝑔𝑖𝑡 − 𝑙𝑎𝑛𝑔𝑖𝑡 = 5 × 0,98 = 4,9 𝑚 𝐿𝑢𝑎𝑠 𝑙𝑎𝑛𝑔𝑖𝑡 − 𝑙𝑎𝑛𝑔𝑖𝑡 = 4,9 𝑚 × 4,9 𝑚||||||N/A|
Penalaran Matematika|Day 8|19|Agar tampak lebih artistik dan menarik, panel-panel tersebut dipasang pada rangkaian kisi berwarna oranye dengan lebar 3 cm, kecuali untuk kisi yang menempel pada dinding lebarnya 4 cm. Jika jumlah panel yang dipasang adalah 25 buah, luas langit-langit ruang tamu adalah . . . 𝑚2 a. 4, 90 × 4, 90 b. 4, 95 × 4, 95 c. 5, 00 × 5, 00 d. 5, 05 × 5, 05 e. 5, 10 × 5, 10 Jawaban : E) 5,10 × 5,10 Konsep : Permodelan dan Bangun Datar Untuk menjawab soal ini, kita hanya perlu memahami apa yang dimaksud pembuat soal. Berdasarkan narasi dan ilustrasi, komponen sisi kisi memiliki bingkai terluar sebanyak 4 cm dengan sela-sela antarpanel 3 cm. Berdasarkan soal sebelumnya, jika terdapat 25 panel total, per sisi memiliki 5 panel. Soal ini dapat diilustrasikan seperti berikut untuk satu sisi : Ilustrasi ini dapat dijadikan persamaan matematika sebagai berikut : 2(sela sisi luar) + 4(sela sisi dalam) + sisi 5 panel Kita tinggal memasukkan angka ke dalam persamaan ; 2 × 4 𝑐𝑚 + 4 × 3 𝑐𝑚 + 5 × 98 𝑐𝑚 = 510 𝑐𝑚 Karena kisi berbentuk persegi, sisi alas dan sisi tinggi kisi adalah sama 𝐿𝑢𝑎𝑠 𝐾𝑖𝑠𝑖 = 510 𝑐𝑚 × 510 𝑐𝑚 Setiap sisi dapat dikonversikan ke satuan meter 1𝑚 510 𝑐𝑚 × = 5,10 𝑚 100 𝑐𝑚 Luas kisi adalah 5,10 𝑚 × 5,10 𝑚||||||N/A|
Penalaran Matematika|Day 8|20|Penyedia jasa pemasangan panel pada langit-langit ruang tamu memberikan diskon sebesar 20% jika banyaknya panel yang dipasang lebih dari 35 buah. Jika untuk langit-langit ruang tamu dengan panjang sisi 5, 88 m diperlukan biaya sebesar Rp1.440.000, 00, biaya pemasangan 20 panel adalah ... a. Rp750.000,00 b. Rp850.000,00 c. Rp900.000,00 d. Rp1.000.000,00 e. Rp1.100.000,00 Jawaban : D) Rp1.000.000,00 Konsep : Perbandingan Pada soal, kita mengetahui bahwa langit-langit ruang tamu selalu berbentuk persegi. Jika langit-langit ruang tamu memiliki panjang sisi 5, 88 m, Kita dapat mencari jumlah panel yang dibutuhkan langit- langit. Dari soal sebelumnya, kita mengetahui bahwa : 𝑃𝑎𝑛𝑗𝑎𝑛𝑔 𝑠𝑖𝑠𝑖 𝑙𝑎𝑛𝑔𝑖𝑡 − 𝑙𝑎𝑛𝑔𝑖𝑡 = 𝑗𝑢𝑚𝑙𝑎ℎ 𝑝𝑎𝑛𝑒𝑙 × 𝑝𝑎𝑛𝑗𝑎𝑛𝑔 𝑝𝑎𝑛𝑒𝑙 𝑃𝑎𝑛𝑗𝑎𝑛𝑔 𝑠𝑖𝑠𝑖 𝑙𝑎𝑛𝑔𝑖𝑡 − 𝑙𝑎𝑛𝑔𝑖𝑡 = 𝑗𝑢𝑚𝑙𝑎ℎ 𝑝𝑎𝑛𝑒𝑙 𝑝𝑎𝑛𝑗𝑎𝑛𝑔 𝑝𝑎𝑛𝑒𝑙 5, 88 𝑚 = 𝑗𝑢𝑚𝑙𝑎ℎ 𝑝𝑎𝑛𝑒𝑙 0,98 𝑚 𝑗𝑢𝑚𝑙𝑎ℎ 𝑝𝑎𝑛𝑒𝑙 = 6 Untuk menutupi sisi langit-langit, kita memerlukan 6 panel. Artinya, jika langit berbentuk persegi, kita memerlukan 6 × 6 = 36 𝑝𝑎𝑛𝑒𝑙 𝑅𝑝1.440.000, 00 = ℎ𝑎𝑟𝑔𝑎 𝑑𝑖𝑑𝑖𝑠𝑘𝑜𝑛 80% 𝑅𝑝1.440.000, 00 8 = ℎ𝑎𝑟𝑔𝑎 36 10 𝑅𝑝50.000, 00 = ℎ𝑎𝑟𝑔𝑎 𝑈ntuk memasang 20 panel, kita mengalikan 20 dengan harga sehingga 𝑅𝑝50.000, 00 × 20 = 𝑅𝑝1.000.000, 00 Pembahasan Penalaran Matematika UTBK (𝑫𝒂𝒚 𝟔 𝑺𝒆𝒔𝒊 𝟐) Teks 3 Sinta berada di atas suatu kapal sehingga dapat melihat bayangan pantulan suar di permukaan laut. Lampu suar berada pada ketinggian 72 m di atas permukaan laut. Lantai kapal tempat Sinta berdiri berada pada ketinggian 3 m di atas permukaan laut, sementara tinggi badan Sinta adalah 180 cm.||||||N/A|
Penalaran Matematika|Day 8|1|Jika bayangan lampu yang ada di permukaan laut memiliki jarak 10 m dari kapal, jarak kapal ke lampu suar adalah ...m. a. 170 b. 165 c. 160 d. 155 e. 150 Answer : C Diketahui : - Tinggi mercusuar = 72 meter - Tinggi Sinta di atas permukaan laut = 3 meter + 180 cm = 4,8 meter - Jarak bayangan lampu ke kapal = 10 meter Ditanyakan : Tentukan jarak kapal ke lampu mercusuar dalam satuan meter! Penyelesaian : 72 4,8 = 𝑥 10 720 = 4,8𝑥 𝑥 = 150 𝑚𝑒𝑡𝑒𝑟 𝐽𝑎𝑟𝑎𝑘 𝐾𝑎𝑝𝑎𝑙 𝑘𝑒 𝐿𝑎𝑚𝑝𝑢 𝑀𝑒𝑟𝑐𝑢𝑠𝑢𝑎𝑟 = 𝑥 + 10 = 160 𝑚𝑒𝑡𝑒𝑟||||||N/A|
Penalaran Matematika|Day 8|2|Ketika naik ke lantai atas yang lebih tinggi 2,4 m dari lantai sebelumnya, Dinda melihat bayangan lampu suar di permukaan laut menjauh 1 m dari bayangan lampu saat berada di lantai sebelumnya. Jarak kapal dari menara suar saat ia berada di lantai semula adalah ...m. a. 34,8 b. 35,0 c. 35,2 d. 35,4 e. 35,6 Answer : c Diketahui : - Tinggi mercusuar = 72 meter - Tinggi Sinta di atas permukaan laut = 4,8 m + 2,4 m = 7,2 m - Jarak bayangan lampu ke kapal (jarak awal) = 𝑥 𝑚𝑒𝑡𝑒𝑟 - Jarak bayangan lampu ke kapal (setelah Dinda naik 2,4 m ke atas) = 𝑥 + 1 𝑚𝑒𝑡𝑒𝑟 Ditanyakan : Tentukan jarak kapal ke mercusuar dalam satuan meter! Penyelesaian : Step 1 Step 2 Step 3 72 4,8 72 7,2 15𝑥 = 𝑦 = = 𝑦 𝑥 𝑦−1 𝑥+1 11 15 ( )=𝑦 72𝑥 = 4,8𝑦 72(𝑥 + 1) = 7,2(𝑦 − 1) 5 15𝑥 = 𝑦 10(𝑥 + 1) = 𝑦 − 1 3(11) = 𝑦 10𝑥 + 11 = 15𝑥 − 1 𝑦 = 33 𝑚𝑒𝑡𝑒𝑟 11 = 5𝑥 𝑥= 𝑚𝑒𝑡𝑒𝑟 = 2,2 𝑚𝑒𝑡𝑒𝑟 Jarak kapal ke mercusuar = 𝑥 + 𝑦 = 33 + 2,2 = 35,2 𝑚𝑒𝑡𝑒𝑟||||||N/A|
